GeoX,GeoY, ,고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목명,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자
127.1527439,36.8093350,3885,4413110300100920041,4413110300,충청남도 천안시 동남구 문화동,92-41,1,토지대장,8,대,75.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1525366,36.8096001,3886,4413110300100920042,4413110300,충청남도 천안시 동남구 문화동,92-42,1,토지대장,8,대,12.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524762,36.8094576,3887,4413110300100920043,4413110300,충청남도 천안시 동남구 문화동,92-43,1,토지대장,8,대,28.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523394,36.8094770,3888,4413110300100920044,4413110300,충청남도 천안시 동남구 문화동,92-44,1,토지대장,8,대,18.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1521295,36.8095261,3889,4413110300100920045,4413110300,충청남도 천안시 동남구 문화동,92-45,1,토지대장,8,대,3.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1522511,36.8094691,3890,4413110300100920046,4413110300,충청남도 천안시 동남구 문화동,92-46,1,토지대장,8,대,147.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1522923,36.8094061,3891,4413110300100920047,4413110300,충청남도 천안시 동남구 문화동,92-47,1,토지대장,8,대,39.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522654,36.8094990,3892,4413110300100920048,4413110300,충청남도 천안시 동남구 문화동,92-48,1,토지대장,8,대,1.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1524337,36.8094129,3893,4413110300100920049,4413110300,충청남도 천안시 동남구 문화동,92-49,1,토지대장,8,대,24.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525202,36.8096001,3894,4413110300100920050,4413110300,충청남도 천안시 동남구 문화동,92-50,1,토지대장,8,대,15.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524879,36.8094738,3895,4413110300100920051,4413110300,충청남도 천안시 동남구 문화동,92-51,1,토지대장,8,대,89.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524889,36.8092824,3896,4413110300100920052,4413110300,충청남도 천안시 동남구 문화동,92-52,1,토지대장,8,대,81.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525091,36.8091716,3897,4413110300100930004,4413110300,충청남도 천안시 동남구 문화동,93-4,1,토지대장,8,대,7.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1523540,36.8091356,3898,4413110300100930005,4413110300,충청남도 천안시 동남구 문화동,93-5,1,토지대장,8,대,165.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523538,36.8092303,3899,4413110300100930006,4413110300,충청남도 천안시 동남구 문화동,93-6,1,토지대장,8,대,252.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1524918,36.8091770,3900,4413110300100930010,4413110300,충청남도 천안시 동남구 문화동,93-10,1,토지대장,8,대,6.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1520367,36.8078953,3901,4413110300100940001,4413110300,충청남도 천안시 동남구 문화동,94-1,1,토지대장,8,대,175.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1520925,36.8076796,3902,4413110300100940002,4413110300,충청남도 천안시 동남구 문화동,94-2,1,토지대장,14,도로,152.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1520635,36.8076180,3903,4413110300100940003,4413110300,충청남도 천안시 동남구 문화동,94-3,1,토지대장,8,대,17.0,1.0,개인,3.0,12.0,1:1200,2022-06-07
127.1520665,36.8077819,3904,4413110300100940004,4413110300,충청남도 천안시 동남구 문화동,94-4,1,토지대장,8,대,248.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522190,36.8079354,3905,4413110300100950000,4413110300,충청남도 천안시 동남구 문화동,95,1,토지대장,8,대,363.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1521840,36.8077455,3906,4413110300100950002,4413110300,충청남도 천안시 동남구 문화동,95-2,1,토지대장,28,잡종지,13.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523115,36.8075727,3907,4413110300100950003,4413110300,충청남도 천안시 동남구 문화동,95-3,1,토지대장,14,도로,13.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523340,36.8075319,3908,4413110300100950004,4413110300,충청남도 천안시 동남구 문화동,95-4,1,토지대장,8,대,7.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523752,36.8076794,3909,4413110300100950005,4413110300,충청남도 천안시 동남구 문화동,95-5,1,토지대장,14,도로,155.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1523545,36.8080086,3910,4413110300100950006,4413110300,충청남도 천안시 동남구 문화동,95-6,1,토지대장,14,도로,34.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524889,36.8080015,3911,4413110300100950007,4413110300,충청남도 천안시 동남구 문화동,95-7,1,토지대장,14,도로,1471.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1527263,36.8078137,3912,4413110300100950008,4413110300,충청남도 천안시 동남구 문화동,95-8,1,토지대장,10,학교용지,1528.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1525807,36.8074213,3913,4413110300100950009,4413110300,충청남도 천안시 동남구 문화동,95-9,1,토지대장,8,대,139.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522094,36.8076353,3914,4413110300100950010,4413110300,충청남도 천안시 동남구 문화동,95-10,1,토지대장,14,도로,73.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1522605,36.8075203,3915,4413110300100950011,4413110300,충청남도 천안시 동남구 문화동,95-11,1,토지대장,8,대,167.0,1.0,개인,5.0,12.0,1:1200,2022-06-07
127.1523471,36.8074779,3916,4413110300100950012,4413110300,충청남도 천안시 동남구 문화동,95-12,1,토지대장,14,도로,7.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1523848,36.8075810,3917,4413110300100950013,4413110300,충청남도 천안시 동남구 문화동,95-13,1,토지대장,14,도로,159.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1524313,36.8074454,3918,4413110300100950015,4413110300,충청남도 천안시 동남구 문화동,95-15,1,토지대장,14,도로,215.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1528109,36.8072916,3919,4413110300100950017,4413110300,충청남도 천안시 동남구 문화동,95-17,1,토지대장,8,대,661.0,8.0,종교단체,0.0,12.0,1:1200,2022-06-07
127.1521474,36.8075030,3920,4413110300100950020,4413110300,충청남도 천안시 동남구 문화동,95-20,1,토지대장,8,대,298.0,1.0,개인,5.0,12.0,1:1200,2022-06-07
127.1529312,36.8072294,3921,4413110300100950021,4413110300,충청남도 천안시 동남구 문화동,95-21,1,토지대장,8,대,26.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523828,36.8083227,3922,4413110300100950023,4413110300,충청남도 천안시 동남구 문화동,95-23,1,토지대장,14,도로,23.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1522540,36.8077841,3923,4413110300100950028,4413110300,충청남도 천안시 동남구 문화동,95-28,1,토지대장,8,대,292.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1527268,36.8075183,3924,4413110300100950032,4413110300,충청남도 천안시 동남구 문화동,95-32,1,토지대장,14,도로,278.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1523387,36.8075631,3925,4413110300100950033,4413110300,충청남도 천안시 동남구 문화동,95-33,1,토지대장,14,도로,13.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1525152,36.8074267,3926,4413110300100950034,4413110300,충청남도 천안시 동남구 문화동,95-34,1,토지대장,8,대,99.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523303,36.8074860,3927,4413110300100950035,4413110300,충청남도 천안시 동남구 문화동,95-35,1,토지대장,8,대,12.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523636,36.8077692,3928,4413110300100950036,4413110300,충청남도 천안시 동남구 문화동,95-36,1,토지대장,8,대,59.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523642,36.8078756,3929,4413110300100950037,4413110300,충청남도 천안시 동남구 문화동,95-37,1,토지대장,8,대,9.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523716,36.8079394,3930,4413110300100950038,4413110300,충청남도 천안시 동남구 문화동,95-38,1,토지대장,14,도로,19.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525483,36.8076436,3931,4413110300100950039,4413110300,충청남도 천안시 동남구 문화동,95-39,1,토지대장,10,학교용지,22.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523412,36.8077425,3932,4413110300100950040,4413110300,충청남도 천안시 동남구 문화동,95-40,1,토지대장,14,도로,5.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1527014,36.8071067,3933,4413110300100960000,4413110300,충청남도 천안시 동남구 문화동,96,1,토지대장,8,대,658.0,1.0,개인,1.0,12.0,1:1200,2022-06-07
127.1524121,36.8073127,3934,4413110300100960005,4413110300,충청남도 천안시 동남구 문화동,96-5,1,토지대장,14,도로,159.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1523228,36.8074202,3935,4413110300100960006,4413110300,충청남도 천안시 동남구 문화동,96-6,1,토지대장,8,대,4.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1522480,36.8073176,3936,4413110300100960007,4413110300,충청남도 천안시 동남구 문화동,96-7,1,토지대장,8,대,208.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1524998,36.8069913,3937,4413110300100960009,4413110300,충청남도 천안시 동남구 문화동,96-9,1,토지대장,8,대,20.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1526172,36.8072689,3938,4413110300100960010,4413110300,충청남도 천안시 동남구 문화동,96-10,1,토지대장,8,대,165.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1524690,36.8073036,3939,4413110300100960011,4413110300,충청남도 천안시 동남구 문화동,96-11,1,토지대장,14,도로,17.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1523408,36.8072643,3940,4413110300100960013,4413110300,충청남도 천안시 동남구 문화동,96-13,1,토지대장,14,도로,86.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1523487,36.8073720,3941,4413110300100960014,4413110300,충청남도 천안시 동남구 문화동,96-14,1,토지대장,14,도로,53.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523833,36.8071081,3942,4413110300100960016,4413110300,충청남도 천안시 동남구 문화동,96-16,1,토지대장,14,도로,321.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1525059,36.8070463,3943,4413110300100960017,4413110300,충청남도 천안시 동남구 문화동,96-17,1,토지대장,8,대,7.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524054,36.8069583,3944,4413110300100960018,4413110300,충청남도 천안시 동남구 문화동,96-18,1,토지대장,14,도로,53.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1525531,36.8072062,3945,4413110300100960019,4413110300,충청남도 천안시 동남구 문화동,96-19,1,토지대장,8,대,27.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1529289,36.8071550,3946,4413110300100960022,4413110300,충청남도 천안시 동남구 문화동,96-22,1,토지대장,8,대,121.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1524631,36.8069608,3947,4413110300100960024,4413110300,충청남도 천안시 동남구 문화동,96-24,1,토지대장,8,대,60.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1523094,36.8074311,3948,4413110300100960026,4413110300,충청남도 천안시 동남구 문화동,96-26,1,토지대장,8,대,9.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525060,36.8071466,3949,4413110300100960027,4413110300,충청남도 천안시 동남구 문화동,96-27,1,토지대장,8,대,3.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523041,36.8072897,3950,4413110300100960028,4413110300,충청남도 천안시 동남구 문화동,96-28,1,토지대장,8,대,25.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525028,36.8072687,3951,4413110300100960029,4413110300,충청남도 천안시 동남구 문화동,96-29,1,토지대장,8,대,54.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524786,36.8070728,3952,4413110300100960030,4413110300,충청남도 천안시 동남구 문화동,96-30,1,토지대장,8,대,67.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525079,36.8071908,3953,4413110300100960031,4413110300,충청남도 천안시 동남구 문화동,96-31,1,토지대장,8,대,6.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1524903,36.8071891,3954,4413110300100960032,4413110300,충청남도 천안시 동남구 문화동,96-32,1,토지대장,8,대,7.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525405,36.8069928,3955,4413110300100960033,4413110300,충청남도 천안시 동남구 문화동,96-33,1,토지대장,8,대,49.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1525204,36.8070842,3956,4413110300100960034,4413110300,충청남도 천안시 동남구 문화동,96-34,1,토지대장,8,대,22.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1522935,36.8068537,3957,4413110300100970001,4413110300,충청남도 천안시 동남구 문화동,97-1,1,토지대장,14,도로,99.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1521835,36.8068146,3958,4413110300100970002,4413110300,충청남도 천안시 동남구 문화동,97-2,1,토지대장,8,대,99.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1521251,36.8067640,3959,4413110300100970003,4413110300,충청남도 천안시 동남구 문화동,97-3,1,토지대장,14,도로,56.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1520982,36.8068361,3960,4413110300100980002,4413110300,충청남도 천안시 동남구 문화동,98-2,1,토지대장,8,대,10.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1517627,36.8072460,3961,4413110300100980003,4413110300,충청남도 천안시 동남구 문화동,98-3,1,토지대장,14,도로,2315.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1514299,36.8075362,3962,4413110300100980004,4413110300,충청남도 천안시 동남구 문화동,98-4,1,토지대장,14,도로,50.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1520163,36.8072678,3963,4413110300100990001,4413110300,충청남도 천안시 동남구 문화동,99-1,1,토지대장,8,대,443.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522881,36.8069656,3964,4413110300100990002,4413110300,충청남도 천안시 동남구 문화동,99-2,1,토지대장,14,도로,76.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1521373,36.8069730,3965,4413110300100990004,4413110300,충청남도 천안시 동남구 문화동,99-4,1,토지대장,8,대,461.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1520869,36.8071377,3966,4413110300100990005,4413110300,충청남도 천안시 동남구 문화동,99-5,1,토지대장,8,대,467.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522692,36.8070252,3967,4413110300100990009,4413110300,충청남도 천안시 동남구 문화동,99-9,1,토지대장,8,대,10.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1522782,36.8071022,3968,4413110300100990010,4413110300,충청남도 천안시 동남구 문화동,99-10,1,토지대장,8,대,1.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1518479,36.8078294,3969,4413110300101000001,4413110300,충청남도 천안시 동남구 문화동,100-1,1,토지대장,8,대,175.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1517087,36.8077466,3970,4413110300101000002,4413110300,충청남도 천안시 동남구 문화동,100-2,1,토지대장,14,도로,340.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1517743,36.8076213,3971,4413110300101000003,4413110300,충청남도 천안시 동남구 문화동,100-3,1,토지대장,28,잡종지,591.0,6.0,법인,0.0,12.0,1:1200,2022-06-07
127.1516779,36.8079433,3972,4413110300101000005,4413110300,충청남도 천안시 동남구 문화동,100-5,1,토지대장,8,대,547.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1515062,36.8078869,3973,4413110300101000006,4413110300,충청남도 천안시 동남구 문화동,100-6,1,토지대장,8,대,210.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1514624,36.8077808,3974,4413110300101000011,4413110300,충청남도 천안시 동남구 문화동,100-11,1,토지대장,14,도로,7.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1518466,36.8074866,3975,4413110300101000013,4413110300,충청남도 천안시 동남구 문화동,100-13,1,토지대장,28,잡종지,284.0,6.0,법인,0.0,12.0,1:1200,2022-06-07
127.1519254,36.8073839,3976,4413110300101000014,4413110300,충청남도 천안시 동남구 문화동,100-14,1,토지대장,8,대,331.0,6.0,법인,0.0,12.0,1:1200,2022-06-07
127.1518580,36.8077564,3977,4413110300101000015,4413110300,충청남도 천안시 동남구 문화동,100-15,1,토지대장,8,대,19.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1515561,36.8077379,3978,4413110300101000016,4413110300,충청남도 천안시 동남구 문화동,100-16,1,토지대장,14,도로,30.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1516919,36.8077896,3979,4413110300101000017,4413110300,충청남도 천안시 동남구 문화동,100-17,1,토지대장,8,대,18.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1514393,36.8078274,3980,4413110300101000018,4413110300,충청남도 천안시 동남구 문화동,100-18,1,토지대장,8,대,18.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1518620,36.8085415,3981,4413110300101010001,4413110300,충청남도 천안시 동남구 문화동,101-1,1,토지대장,14,도로,112.0,4.0,"시, 도유지",0.0,12.0,1:1200,2022-06-07
127.1520531,36.8082729,3982,4413110300101010002,4413110300,충청남도 천안시 동남구 문화동,101-2,1,토지대장,8,대,3166.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1523915,36.8081740,3983,4413110300101010003,4413110300,충청남도 천안시 동남구 문화동,101-3,1,토지대장,14,도로,10.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1516425,36.8082123,3984,4413110300101010004,4413110300,충청남도 천안시 동남구 문화동,101-4,1,토지대장,8,대,221.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1523702,36.8081674,3985,4413110300101010006,4413110300,충청남도 천안시 동남구 문화동,101-6,1,토지대장,14,도로,20.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1518746,36.8085222,3986,4413110300101010007,4413110300,충청남도 천안시 동남구 문화동,101-7,1,토지대장,14,도로,43.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1516787,36.8083483,3987,4413110300101010008,4413110300,충청남도 천안시 동남구 문화동,101-8,1,토지대장,8,대,180.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1517509,36.8080350,3988,4413110300101010011,4413110300,충청남도 천안시 동남구 문화동,101-11,1,토지대장,1,전,17.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1517554,36.8080540,3989,4413110300101010012,4413110300,충청남도 천안시 동남구 문화동,101-12,1,토지대장,1,전,26.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1523695,36.8081066,3990,4413110300101010014,4413110300,충청남도 천안시 동남구 문화동,101-14,1,토지대장,8,대,3.0,5.0,군유지,0.0,12.0,1:1200,2022-06-07
127.1515597,36.8083290,3991,4413110300101010016,4413110300,충청남도 천안시 동남구 문화동,101-16,1,토지대장,8,대,66.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1518387,36.8079534,3992,4413110300101010019,4413110300,충청남도 천안시 동남구 문화동,101-19,1,토지대장,1,전,93.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1519387,36.8079679,3993,4413110300101010020,4413110300,충청남도 천안시 동남구 문화동,101-20,1,토지대장,1,전,112.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1529383,36.8092252,3994,4413110300101010031,4413110300,충청남도 천안시 동남구 문화동,101-31,1,토지대장,8,대,288.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1527969,36.8091475,3995,4413110300101010032,4413110300,충청남도 천안시 동남구 문화동,101-32,1,토지대장,8,대,53.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1516502,36.8084157,3996,4413110300101010041,4413110300,충청남도 천안시 동남구 문화동,101-41,1,토지대장,8,대,18.0,2.0,국유지,0.0,12.0,1:1200,2022-06-07
127.1515578,36.8082140,3997,4413110300101020001,4413110300,충청남도 천안시 동남구 문화동,102-1,1,토지대장,8,대,17.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1516004,36.8081593,3998,4413110300101020004,4413110300,충청남도 천안시 동남구 문화동,102-4,1,토지대장,8,대,36.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1514840,36.8082402,3999,4413110300101030001,4413110300,충청남도 천안시 동남구 문화동,103-1,1,토지대장,8,대,156.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
127.1514343,36.8079881,4000,4413110300101030003,4413110300,충청남도 천안시 동남구 문화동,103-3,1,토지대장,8,대,370.0,1.0,개인,0.0,12.0,1:1200,2022-06-07
